พื้นที่,ชาย,หญิง,รวม
ยอดรวมทั้งหมด,"2,554,230","2,915,202","5,469,432"
ท้องถิ่นเขตพระนคร,"19,381","20,754","40,135"
ท้องถิ่นเขตดุสิต,"40,325","35,510","75,835"
ท้องถิ่นเขตหนองจอก,"89,451","94,899","184,350"
ท้องถิ่นเขตบางรัก,"20,064","22,759","42,823"
ท้องถิ่นเขตบางเขน,"85,943","98,553","184,496"
ท้องถิ่นเขตบางกะปิ,"64,039","77,349","141,388"
ท้องถิ่นเขตปทุมวัน,"18,813","21,180","39,993"
ท้องถิ่นเขตป้อมปราบศัตรูพ่าย,"18,523","19,457","37,980"
ท้องถิ่นเขตพระโขนง,"38,270","47,348","85,618"
ท้องถิ่นเขตมีนบุรี,"66,366","74,602","140,968"
ท้องถิ่นเขตลาดกระบัง,"85,025","94,949","179,974"
ท้องถิ่นเขตยานนาวา,"33,854","39,472","73,326"
ท้องถิ่นเขตสัมพันธวงศ์,"9,440","10,011","19,451"
ท้องถิ่นเขตพญาไท,"30,992","33,000","63,992"
ท้องถิ่นเขตธนบุรี,"45,710","52,454","98,164"
ท้องถิ่นเขตบางกอกใหญ่,"28,162","32,441","60,603"
ท้องถิ่นเขตห้วยขวาง,"37,318","46,370","83,688"
ท้องถิ่นเขตคลองสาน,"29,795","35,010","64,805"
ท้องถิ่นเขตตลิ่งชัน,"47,112","54,156","101,268"
ท้องถิ่นเขตบางกอกน้อย,"45,605","52,266","97,871"
ท้องถิ่นเขตบางขุนเทียน,"86,909","98,221","185,130"
ท้องถิ่นเขตภาษีเจริญ,"56,209","65,579","121,788"
ท้องถิ่นเขตหนองแขม,"71,917","83,120","155,037"
ท้องถิ่นเขตราษฎร์บูรณะ,"35,832","39,644","75,476"
ท้องถิ่นเขตบางพลัด,"39,414","47,768","87,182"
ท้องถิ่นเขตดินแดง,"50,057","59,651","109,708"
ท้องถิ่นเขตบึงกุ่ม,"62,273","74,788","137,061"
ท้องถิ่นเขตสาทร,"33,565","37,627","71,192"
ท้องถิ่นเขตบางซื่อ,"54,632","63,911","118,543"
ท้องถิ่นเขตจตุจักร,"70,422","83,547","153,969"
ท้องถิ่นเขตบางคอแหลม,"36,418","41,110","77,528"
ท้องถิ่นเขตประเวศ,"85,907","97,967","183,874"
ท้องถิ่นเขตคลองเตย,"42,190","47,208","89,398"
ท้องถิ่นเขตสวนหลวง,"56,010","66,992","123,002"
ท้องถิ่นเขตจอมทอง,"66,446","74,483","140,929"
ท้องถิ่นเขตดอนเมือง,"82,715","83,772","166,487"
ท้องถิ่นเขตราชเทวี,"30,290","33,957","64,247"
ท้องถิ่นเขตลาดพร้าว,"51,271","61,854","113,125"
ท้องถิ่นเขตวัฒนา,"37,206","43,192","80,398"
ท้องถิ่นเขตบางแค,"88,834","103,364","192,198"
ท้องถิ่นเขตหลักสี่,"46,294","51,954","98,248"
ท้องถิ่นเขตสายไหม,"98,667","112,586","211,253"
ท้องถิ่นเขตคันนายาว,"44,193","50,876","95,069"
ท้องถิ่นเขตสะพานสูง,"44,422","52,669","97,091"
ท้องถิ่นเขตวังทองหลาง,"46,915","56,482","103,397"
ท้องถิ่นเขตคลองสามวา,"99,482","112,649","212,131"
ท้องถิ่นเขตบางนา,"39,233","46,009","85,242"
ท้องถิ่นเขตทวีวัฒนา,"36,796","42,990","79,786"
ท้องถิ่นเขตทุ่งครุ,"57,953","66,168","124,121"
ท้องถิ่นเขตบางบอน,"47,570","52,524","100,094"
,,,
,,,
,,,
